"","Measure","Scenario","Period","Strategy","WYear","Value"
"97","FSID and Broken O Shortages","CT","2020s","Add30kAcFtIncPSCCap",1998,14.2413146
"98","FSID and Broken O Shortages","CT","2020s","Add30kAcFtIncPSCCap",1999,0
"99","FSID and Broken O Shortages","CT","2020s","Baseline",1951,0
"100","FSID and Broken O Shortages","CT","2020s","Baseline",1952,0
"101","FSID and Broken O Shortages","CT","2020s","Baseline",1953,433.3286909
"102","FSID and Broken O Shortages","CT","2020s","Baseline",1954,0
"103","FSID and Broken O Shortages","CT","2020s","Baseline",1955,0
"104","FSID and Broken O Shortages","CT","2020s","Baseline",1956,0
"105","FSID and Broken O Shortages","CT","2020s","Baseline",1957,10.4528869
"106","FSID and Broken O Shortages","CT","2020s","Baseline",1958,0
"107","FSID and Broken O Shortages","CT","2020s","Baseline",1959,0
"108","FSID and Broken O Shortages","CT","2020s","Baseline",1960,0
"109","FSID and Broken O Shortages","CT","2020s","Baseline",1961,584.4096008
"110","FSID and Broken O Shortages","CT","2020s","Baseline",1962,359.5436069
"111","FSID and Broken O Shortages","CT","2020s","Baseline",1963,21.7388312
"112","FSID and Broken O Shortages","CT","2020s","Baseline",1964,837.9565709
"113","FSID and Broken O Shortages","CT","2020s","Baseline",1965,0
"114","FSID and Broken O Shortages","CT","2020s","Baseline",1966,0
"115","FSID and Broken O Shortages","CT","2020s","Baseline",1967,226.0362412
"116","FSID and Broken O Shortages","CT","2020s","Baseline",1968,797.6722952
"117","FSID and Broken O Shortages","CT","2020s","Baseline",1969,0
"118","FSID and Broken O Shortages","CT","2020s","Baseline",1970,0
"119","FSID and Broken O Shortages","CT","2020s","Baseline",1971,0
"120","FSID and Broken O Shortages","CT","2020s","Baseline",1972,0
"121","FSID and Broken O Shortages","CT","2020s","Baseline",1973,10547.6769313
"122","FSID and Broken O Shortages","CT","2020s","Baseline",1974,621.3219775
"123","FSID and Broken O Shortages","CT","2020s","Baseline",1975,53.4346818
"124","FSID and Broken O Shortages","CT","2020s","Baseline",1976,0
"125","FSID and Broken O Shortages","CT","2020s","Baseline",1977,7089.913515
"126","FSID and Broken O Shortages","CT","2020s","Baseline",1978,13.7454471
"127","FSID and Broken O Shortages","CT","2020s","Baseline",1979,0
"128","FSID and Broken O Shortages","CT","2020s","Baseline",1980,1070.3795855
"129","FSID and Broken O Shortages","CT","2020s","Baseline",1981,217.5271549
"130","FSID and Broken O Shortages","CT","2020s","Baseline",1982,0
"131","FSID and Broken O Shortages","CT","2020s","Baseline",1983,1282.3530244
"132","FSID and Broken O Shortages","CT","2020s","Baseline",1984,1102.8489894
"133","FSID and Broken O Shortages","CT","2020s","Baseline",1985,4429.4455346
"134","FSID and Broken O Shortages","CT","2020s","Baseline",1986,47.7421229
"135","FSID and Broken O Shortages","CT","2020s","Baseline",1987,456.9518186
"136","FSID and Broken O Shortages","CT","2020s","Baseline",1988,2104.5211741
"137","FSID and Broken O Shortages","CT","2020s","Baseline",1989,455.7220672
"138","FSID and Broken O Shortages","CT","2020s","Baseline",1990,0
"139","FSID and Broken O Shortages","CT","2020s","Baseline",1991,186.5850229
"140","FSID and Broken O Shortages","CT","2020s","Baseline",1992,2052.1377314
"141","FSID and Broken O Shortages","CT","2020s","Baseline",1993,177.2825486
"142","FSID and Broken O Shortages","CT","2020s","Baseline",1994,883.0805134
"143","FSID and Broken O Shortages","CT","2020s","Baseline",1995,1016.4490362
"144","FSID and Broken O Shortages","CT","2020s","Baseline",1996,0
"145","FSID and Broken O Shortages","CT","2020s","Baseline",1997,541.8244999
"146","FSID and Broken O Shortages","CT","2020s","Baseline",1998,14.2413146
"147","FSID and Broken O Shortages","CT","2020s","Baseline",1999,0
"148","FSID and Broken O Shortages","CT","2050s","Add30kAcFt",1951,13.7454471
"149","FSID and Broken O Shortages","CT","2050s","Add30kAcFt",1952,662.9153434
"150","FSID and Broken O Shortages","CT","2050s","Add30kAcFt",1953,822.346662
"151","FSID and Broken O Shortages","CT","2050s","Add30kAcFt",1954,0
"152","FSID and Broken O Shortages","CT","2050s","Add30kAcFt",1955,315.0345401
"153","FSID and Broken O Shortages","CT","2050s","Add30kAcFt",1956,143.801575
"154","FSID and Broken O Shortages","CT","2050s","Add30kAcFt",1957,5.1173526
"155","FSID and Broken O Shortages","CT","2050s","Add30kAcFt",1958,0
"156","FSID and Broken O Shortages","CT","2050s","Add30kAcFt",1959,0
"157","FSID and Broken O Shortages","CT","2050s","Add30kAcFt",1960,115.2197723
"158","FSID and Broken O Shortages","CT","2050s","Add30kAcFt",1961,539.1468154
"159","FSID and Broken O Shortages","CT","2050s","Add30kAcFt",1962,720.8128327
"160","FSID and Broken O Shortages","CT","2050s","Add30kAcFt",1963,1238.4191639
"161","FSID and Broken O Shortages","CT","2050s","Add30kAcFt",1964,1530.1479315
"162","FSID and Broken O Shortages","CT","2050s","Add30kAcFt",1965,0
"163","FSID and Broken O Shortages","CT","2050s","Add30kAcFt",1966,0
"164","FSID and Broken O Shortages","CT","2050s","Add30kAcFt",1967,162.6048706
"165","FSID and Broken O Shortages","CT","2050s","Add30kAcFt",1968,444.2179412
"166","FSID and Broken O Shortages","CT","2050s","Add30kAcFt",1969,437.0179451
"167","FSID and Broken O Shortages","CT","2050s","Add30kAcFt",1970,485.9303153
"168","FSID and Broken O Shortages","CT","2050s","Add30kAcFt",1971,148.2445478
"169","FSID and Broken O Shortages","CT","2050s","Add30kAcFt",1972,340.7799807
"170","FSID and Broken O Shortages","CT","2050s","Add30kAcFt",1973,13263.1267001
"171","FSID and Broken O Shortages","CT","2050s","Add30kAcFt",1974,1177.0902715
"172","FSID and Broken O Shortages","CT","2050s","Add30kAcFt",1975,64.3636015
"173","FSID and Broken O Shortages","CT","2050s","Add30kAcFt",1976,243.4907772
"174","FSID and Broken O Shortages","CT","2050s","Add30kAcFt",1977,9851.8359859
"175","FSID and Broken O Shortages","CT","2050s","Add30kAcFt",1978,25.3289119
"176","FSID and Broken O Shortages","CT","2050s","Add30kAcFt",1979,133.8048862
"177","FSID and Broken O Shortages","CT","2050s","Add30kAcFt",1980,1293.9166545
"178","FSID and Broken O Shortages","CT","2050s","Add30kAcFt",1981,235.0610297
"179","FSID and Broken O Shortages","CT","2050s","Add30kAcFt",1982,34.9685761
"180","FSID and Broken O Shortages","CT","2050s","Add30kAcFt",1983,1592.2900466
"181","FSID and Broken O Shortages","CT","2050s","Add30kAcFt",1984,5373.021883
"182","FSID and Broken O Shortages","CT","2050s","Add30kAcFt",1985,4545.2405132
"183","FSID and Broken O Shortages","CT","2050s","Add30kAcFt",1986,1594.2338472
"184","FSID and Broken O Shortages","CT","2050s","Add30kAcFt",1987,713.6128366
"185","FSID and Broken O Shortages","CT","2050s","Add30kAcFt",1988,5275.6136713
"186","FSID and Broken O Shortages","CT","2050s","Add30kAcFt",1989,796.363205
"187","FSID and Broken O Shortages","CT","2050s","Add30kAcFt",1990,620.8657794
"188","FSID and Broken O Shortages","CT","2050s","Add30kAcFt",1991,754.7500044
"189","FSID and Broken O Shortages","CT","2050s","Add30kAcFt",1992,2293.3078487
"190","FSID and Broken O Shortages","CT","2050s","Add30kAcFt",1993,186.7437005
"191","FSID and Broken O Shortages","CT","2050s","Add30kAcFt",1994,1927.8138318
"192","FSID and Broken O Shortages","CT","2050s","Add30kAcFt",1995,508.9980714
"193","FSID and Broken O Shortages","CT","2050s","Add30kAcFt",1996,235.8742524
"194","FSID and Broken O Shortages","CT","2050s","Add30kAcFt",1997,356.1122038
"195","FSID and Broken O Shortages","CT","2050s","Add30kAcFt",1998,125.2957999
"196","FSID and Broken O Shortages","CT","2050s","Add30kAcFt",1999,222.5254993
"197","FSID and Broken O Shortages","CT","2050s","Add30kAcFtIncPSCCap",1951,13.7454471
"198","FSID and Broken O Shortages","CT","2050s","Add30kAcFtIncPSCCap",1952,810.3863379
"199","FSID and Broken O Shortages","CT","2050s","Add30kAcFtIncPSCCap",1953,756.7731438
"200","FSID and Broken O Shortages","CT","2050s","Add30kAcFtIncPSCCap",1954,7.7950371
"201","FSID and Broken O Shortages","CT","2050s","Add30kAcFtIncPSCCap",1955,381.8973138
